## Written with SHAMFI (Copyright (c) J. L. B. Line)
## Git describe: 1b81779
## Git date: Thu Jan 30 14:53:15 2020 +0800
## Git branch: master
SOURCE combined_woden P 0 G 5 S 2 7656
COMPONENT SHAPELET 3.399256 -37.277329
SCOEFF 3.0 25.0 0.000457562311
SCOEFF 3.0 26.0 0.000582443814
SCOEFF 3.0 27.0 0.001286185208
SCOEFF 3.0 28.0 -0.001206780043
SCOEFF 3.0 29.0 -0.000103940832
SCOEFF 3.0 30.0 -0.002367096431
SCOEFF 3.0 31.0 -0.000751269769
SCOEFF 3.0 32.0 0.002112451675
SCOEFF 3.0 33.0 0.000582431348
SCOEFF 3.0 34.0 0.000064663729
SCOEFF 3.0 35.0 -0.000119631525
SCOEFF 3.0 36.0 -0.000492114489
SCOEFF 3.0 37.0 -0.000687004770
SCOEFF 3.0 38.0 -0.000390548665
SCOEFF 3.0 39.0 0.000552231063
SCOEFF 3.0 40.0 0.000579177474
SCOEFF 3.0 41.0 -0.000586850168
SCOEFF 3.0 42.0 -0.000491536887
SCOEFF 3.0 43.0 0.000027000308
SCOEFF 3.0 44.0 -0.000664756886
SCOEFF 3.0 45.0 0.000196448315
SCOEFF 3.0 46.0 0.002066520692
SCOEFF 3.0 47.0 0.001243417796
SCOEFF 3.0 48.0 -0.002112440915
SCOEFF 3.0 49.0 -0.001049757586
SCOEFF 3.0 50.0 0.000171105503
SCOEFF 3.0 51.0 0.000989242118
SCOEFF 3.0 52.0 0.001433836610
SCOEFF 3.0 53.0 -0.000095441046
SCOEFF 3.0 54.0 -0.000332319255
SCOEFF 3.0 55.0 -0.001480655106
SCOEFF 3.0 56.0 -0.001038495275
SCOEFF 3.0 57.0 0.002011556627
SCOEFF 3.0 58.0 0.002309006764
SCOEFF 3.0 59.0 0.000614794214
SCOEFF 3.0 60.0 -0.001752506947
SCOEFF 3.0 61.0 -0.003180099992
SCOEFF 3.0 62.0 0.000613364768
SCOEFF 3.0 63.0 0.002810848467
SCOEFF 3.0 64.0 0.001340660401
SCOEFF 3.0 65.0 -0.001148116089
SCOEFF 3.0 66.0 -0.001655084503
SCOEFF 3.0 67.0 -0.000959230535
SCOEFF 3.0 68.0 0.001774263457
SCOEFF 3.0 69.0 0.000471331268
SCOEFF 3.0 70.0 -0.000063796147
SCOEFF 3.0 71.0 0.001015675829
SCOEFF 3.0 72.0 -0.000898678436
SCOEFF 3.0 73.0 -0.002225558461
SCOEFF 3.0 74.0 0.000436934651
SCOEFF 3.0 75.0 0.002037067204
SCOEFF 3.0 76.0 0.000592601574
SCOEFF 3.0 77.0 -0.000805609090
SCOEFF 3.0 78.0 -0.000114717605
SCOEFF 3.0 79.0 -0.000928059882
SCOEFF 3.0 80.0 -0.000254349218
SCOEFF 3.0 81.0 0.001348510357
SCOEFF 3.0 82.0 -0.000110871487
SCOEFF 3.0 83.0 -0.000133068851
SCOEFF 4.0 0.0 0.069662841542
SCOEFF 4.0 1.0 -0.000132898300
SCOEFF 4.0 2.0 0.046272834572
SCOEFF 4.0 3.0 -0.001279015581
SCOEFF 4.0 4.0 0.030630772739
SCOEFF 4.0 5.0 0.002645173681
SCOEFF 4.0 6.0 0.023328467164
SCOEFF 4.0 7.0 0.000610476247
SCOEFF 4.0 8.0 0.020955089191
SCOEFF 4.0 9.0 0.001148040814
SCOEFF 4.0 10.0 0.021394161679
SCOEFF 4.0 11.0 0.000703633121
SCOEFF 4.0 12.0 0.018305544200
SCOEFF 4.0 13.0 -0.000537870965
SCOEFF 4.0 14.0 0.014787539428
SCOEFF 4.0 15.0 0.000815504088
SCOEFF 4.0 16.0 0.009478202434
SCOEFF 4.0 17.0 -0.000050237494
SCOEFF 4.0 18.0 0.004363754979
SCOEFF 4.0 19.0 -0.000935910515
SCOEFF 4.0 20.0 0.002731127562
SCOEFF 4.0 21.0 0.000528580268
SCOEFF 4.0 22.0 0.003107150851
SCOEFF 4.0 23.0 0.000847102916
SCOEFF 4.0 24.0 0.005638750505
SCOEFF 4.0 25.0 0.000196100715
SCOEFF 4.0 26.0 0.001501573450
